sample	failed_cut	valid_trans_pairs	total_reads	valid_cis_reads	insert_size	valid_cis_pairs	same_fragment	out_of_bounds	valid_trans_reads	GEO_ID
GSE48592_hg38_GM12878_HindIII_Rep1	43184730	106813984	328028071	57950306	111768542	53978459	5076394	2214	110045885	GSM1181867
GSE48592_hg38_GM12878_HindIII_Rep2	39877692	97761741	304035507	53229613	104811348	48998704	4253306	2016	101861532	GSM1181868
GSE49017_mm10_AST_HindIII_Rep1	2121440	4282062	38561251	21058621	10063301	20094028	924013	2063	4391813	GSM1192213
GSE49017_mm10_AST_HindIII_Rep2	2114621	3599491	34234548	17996920	9132562	17289496	1311286	2107	3677052	GSM1192214
GSE49017_mm10_NSC_HindIII_Rep1	1260830	2283595	20257064	12490185	3719539	12271577	501700	474	2284336	GSM1192207
GSE49017_mm10_NSC_HindIII_Rep2	1099247	1802190	17756656	10763970	3674406	10594210	415532	503	1802998	GSM1192208
GSE52457_hg38_H1-ES_HindIII_Rep1	24088362	27969088	351157437	128489104	159410008	91193468	3503431	1445	35665087	GSM1267196
GSE52457_hg38_H1-ES_HindIII_Rep2	63550893	111903302	777847319	178802683	391997800	135067976	8936942	4228	134554773	GSM1267197
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	23220087	26751652	277934243	171430338	49700845	132129451	1890971	1175	31690827	GSM1267200
GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	23470939	32774858	311178604	185105943	63818146	150314992	1989774	1321	36792481	GSM1267201
GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	41361086	55511379	498214164	135013524	256421585	113318289	5217179	2154	60198636	GSM1267198
GSE52457_hg38_H1-Mesendoderm_HindIII_Rep2	24332902	20130789	372886094	160461301	159350579	109560733	2467841	1422	26272049	GSM1267199
GSE52457_hg38_H1-NPC_HindIII_Rep1	22102878	77901394	465940053	64003384	201264454	28981000	12321072	2392	166245873	GSM1267202
GSE52457_hg38_H1-NPC_HindIII_Rep2	29540171	114345341	335841327	46344708	128678675	40335795	7862163	1636	123413974	GSM1267203
GSE52457_hg38_H1-Trophectoderm_HindIII_Rep1	38515926	54471755	414429662	73609663	229901258	59368739	8549479	2053	63851283	GSM1267204
GSE52457_hg38_H1-Trophectoderm_HindIII_Rep2	17290771	71217614	296493743	86565334	99629689	69978389	8558430	1239	84448280	GSM1267205
GSE60494_mm10_ES_MboI_Rep1	21565649	18115751	101850576	37397967	17531817	34662038	7217983	9039	18128121	GSM1826742
GSE60494_mm10_ES_MboI_Rep2	18406698	9999858	73926376	23705623	13313058	22805333	8486354	6043	10008600	GSM1826743
GSE61471_dm6_16-18hr-embryos_DpnII_Rep1	72572666	30211116	417535739	119812224	164963795	52266754	17551101	11033	42624920	GSM1505557
GSE61471_dm6_16-18hr-embryos_DpnII_Rep2	70557812	45619287	426049573	149950110	143370660	80360488	8237509	9903	53923579	GSM1505558
GSE63515_dm6_Kc167_DpnII_Rep1	1337490	1276613	13296137	7180064	2300660	6738236	1159378	14586	1303959	GSM1551441
GSE63515_dm6_Kc167_DpnII_Rep2	1618281	1668925	16574302	8899786	2917703	8298176	1415731	21083	1701718	GSM1551442
GSE63525_hg38_GM12878_MboI_Rep1	4629274	8215751	43775044	25501372	5233259	25074913	191622	2526	8216991	GSM1551559
GSE63525_hg38_GM12878_MboI_Rep2	4729473	7932301	43450927	25334027	5268787	24899666	182547	2424	7933669	GSM1551560
GSE63525_hg38_HMEC_MboI_Rep1	2191793	2674614	14777441	7695744	1868373	7572880	327462	19100	2674969	GSM1551611
GSE63525_hg38_HMEC_MboI_Rep2	1572903	2159967	13053060	7711262	1410567	7645249	189872	8089	2160367	GSM1551612
GSE63525_hg38_K562_MboI_Rep1	4607175	17063044	60146326	32470863	5896409	31777779	45008	19424	17107447	GSM1551620
GSE63525_hg38_K562_MboI_Rep2	1024336	15919333	47824657	28329651	2477543	28179657	22090	17411	15953626	GSM1551621
GSE63525_mm10_CH12-LX_HindIII_Rep1	3839514	7771957	71288879	11370618	48116005	11251125	169518	20345	7772879	GSM1551648
GSE63525_mm10_CH12-LX_HindIII_Rep2	2195847	6862692	36593801	5810424	21517260	5775717	186512	20378	6863380	GSM1551649
GSE63525_mm10_CH12-LX_MboI_Rep1	3705464	3493151	21214642	6809170	6682211	6528670	514707	6440	3496650	GSM1551646
GSE63525_mm10_CH12-LX_MboI_Rep2	5082898	4541102	27609391	7938405	9157081	7474529	879386	5680	4545941	GSM1551647
GSE65126_mm10_Liver_HindIII_Rep1	6130595	4308390	53135939	15514435	26404465	14894770	716353	2652	4367439	GSM1587701
GSE65126_mm10_Liver_HindIII_Rep2	30909152	17138374	254523004	48693691	154709653	45620461	2826790	13642	17370076	GSM1587702
GSE69013_dm6_BG3-c2_HindIII_Rep1	2901226	763711	26400803	3294546	18986828	2795698	435228	17245	765730	GSM1690087
GSE69013_dm6_BG3-c2_HindIII_Rep2	2853631	839056	23297036	3493941	15708067	2942536	386559	13457	841381	GSM1690088
GSE69013_dm6_OSC_HindIII_Rep1	2618351	627613	21380995	2808504	14995492	2450003	316543	13550	628555	GSM1690089
GSE69013_dm6_OSC_HindIII_Rep2	3143223	717700	27825128	3399903	20097331	2858692	445878	19769	719024	GSM1690090
GSE69013_dm6_S2_HindIII_Rep1	2411260	321386	16985283	2265853	11652882	1956064	326404	5764	323120	GSM1690083
GSE69013_dm6_S2_HindIII_Rep2	2088731	245799	15659680	1612695	11352367	1423119	349835	8741	247311	GSM1690084
GSE70181_hg38_H9-WA09-Dil_HindIII_Rep1	3148600	4573662	20126169	3436591	8447808	3316850	519041	87	4574042	GSM1718021
GSE70181_hg38_H9-WA09-Dil_HindIII_Rep2	2878826	1310750	17739992	4008970	9195616	3910849	344916	110	1311554	GSM1718023
GSE70181_hg38_H9-WA09-IS_HindIII_Rep1	4245623	1142476	23048639	7441353	9931964	6945803	287044	87	1142568	GSM1718020
GSE70181_hg38_H9-WA09-IS_HindIII_Rep2	4120676	578546	21080066	5625889	10177517	5188221	576933	109	578942	GSM1718022
GSE70181_mm10_Fetal-Liver-Dil_HindIII_Rep1	10532404	79276367	196672664	42659146	57984060	40925477	5977620	14348	79505086	GSM1718025
GSE70181_mm10_Fetal-Liver-Dil_HindIII_Rep2	9111579	9741910	99608593	25491323	53839178	24081269	1167911	12196	9986406	GSM1718027
GSE70181_mm10_Fetal-Liver-IS_HindIII_Rep1	11136586	15747042	190841201	95168973	67031529	83855480	1637766	7533	15858814	GSM1718024
GSE70181_mm10_Fetal-Liver-IS_HindIII_Rep2	10565827	4489521	103085039	34296309	51951582	29744822	1683682	7341	4580298	GSM1718026
GSE71831_hg38_RPE1_MboI_Rep1	30960810	11479248	145305043	66291497	25922123	62794253	10534199	6349	11590065	GSM1847523
GSE71831_hg38_RPE1_MboI_Rep2	65904467	22857697	302117374	132699637	56145371	123154564	24179203	10793	23177903	GSM1847524
GSE76479_mm10_MEF_DpnII_Rep1	14816840	3744182	70549803	22951554	28181934	16641273	835505	17166	3746804	GSM2026269
GSE76479_mm10_MEF_DpnII_Rep2	4971753	2871975	30607750	9808604	12799295	9358475	148793	6749	2872556	GSM2026270
GSE76479_mm10_PreB_DpnII_Rep1	12798430	5613357	76791457	27466613	29981046	24256456	925960	2894	5616514	GSM2026285
GSE76479_mm10_PreB_DpnII_Rep2	16362255	6582909	92594100	32866073	35823863	27926176	950826	3718	6587365	GSM2026286
GSE76479_mm10_macrophages_DpnII_Rep1	3135971	6067023	38112969	12393933	16167954	12256693	341586	4599	6068926	GSM2026261
GSE76479_mm10_macrophages_DpnII_Rep2	4562078	9523162	52530406	18282498	19793224	18149832	347049	8233	9537324	GSM2026262
GSE85515_mm10_CD8-T_MboI_Rep1	16478238	7586680	176761858	25970292	95364492	23678920	31336926	2158	7609752	GSM2274602
GSE85515_mm10_CD8-T_MboI_Rep2	17569215	6666456	179376530	25162394	96823586	22692341	33131244	2240	6687851	GSM2274603
GSE87112_hg38_Bladder_HindIII_Rep1	16772414	21417183	119226332	31474525	38564740	22526286	3472838	798	28941017	GSM2322540
GSE87112_hg38_Bladder_HindIII_Rep2	21538520	17823940	118535904	27454462	42143974	18805333	2886078	802	24512068	GSM2322541
GSE87112_hg38_Lung_HindIII_Rep1	4564529	23446273	73446757	15602202	22661780	12995854	3078895	599	27538752	GSM2322544
GSE87112_hg38_Lung_HindIII_Rep2	2261261	22898923	58327055	13779993	9769326	9868179	1065990	345	31450140	GSM2322545
GSE87112_hg38_Psoas_HindIII_Rep1	3587964	9181020	37635363	9889874	9908577	6724864	1012717	221	13236010	GSM2322551
GSE87112_hg38_Psoas_HindIII_Rep2	2076130	6062225	26748941	7527523	6554948	4530810	615005	172	9975163	GSM2322552
