Sample1	Sample2	Genome	Coverage	Resolution	Score
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep1	hg38	0	200000	0.725153203808
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep1	hg38	0	1000000	0.771395359191
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep2	hg38	0	10000	0.0842260328
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep2	hg38	0	40000	0.40460638348
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep2	hg38	0	200000	0.702524876064
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_G401_HindIII_Rep2	hg38	0	1000000	0.770314247359
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	10000	0.0282006046662
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	40000	0.178997087959
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	200000	0.543812442699
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep1	hg38	0	1000000	0.729117709429
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	10000	0.0257547279469
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	40000	0.170425202745
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	200000	0.540134600841
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_LNCaP-clone-FGC_HindIII_Rep2	hg38	0	1000000	0.728539745234
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	10000	0.0953582348902
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	40000	0.50243108605
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	200000	0.787031976913
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep1	hg38	0	1000000	0.844344698482
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	10000	0.0642669673362
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	40000	0.430401459924
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	200000	0.772233188808
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_NCI-H460_HindIII_Rep2	hg38	0	1000000	0.840880584858
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep1	hg38	0	10000	0.088511360389
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep1	hg38	0	40000	0.44611270957
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep1	hg38	0	200000	0.76249314124
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep1	hg38	0	1000000	0.830143437165
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	10000	0.0656388694771
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	40000	0.370915463412
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	200000	0.731912368796
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_Panc1_HindIII_Rep2	hg38	0	1000000	0.825540312699
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	10000	0.0780576473926
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	40000	0.433167765111
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	200000	0.733864108916
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep1	hg38	0	1000000	0.800850274604
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	10000	0.117744097216
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	40000	0.499444802505
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	200000	0.740573274642
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_RPMI-7951_HindIII_Rep2	hg38	0	1000000	0.79541975243
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	10000	0.00689886403345
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	40000	0.0418400766863
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	200000	0.133974585358
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep1	hg38	0	1000000	0.431882079594
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	10000	0.00495645555359
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	40000	0.0275246487204
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	200000	0.0651735839889
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SJCRH30_HindIII_Rep2	hg38	0	1000000	0.313291623844
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	10000	0.0442197761665
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	40000	0.213758171281
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	200000	0.595103033811
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep1	hg38	0	1000000	0.767345098413
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	10000	0.137083198435
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	40000	0.463945924185
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	200000	0.734612396743
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-MEL-5_HindIII_Rep2	hg38	0	1000000	0.802381094681
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	10000	0.0128406677739
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	40000	0.133788177897
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	200000	0.408078261368
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep1	hg38	0	1000000	0.621525478932
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	10000	0.035701140712
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	40000	0.298197889259
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	200000	0.567659433435
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_SK-N-MC_HindIII_Rep2	hg38	0	1000000	0.694915410109
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	hg38	0	10000	0.0969004985083
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	hg38	0	40000	0.450535397571
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	hg38	0	200000	0.666473087017
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	hg38	0	1000000	0.708839092619
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep2	hg38	0	10000	0.0956387842065
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep2	hg38	0	40000	0.455803632303
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep2	hg38	0	200000	0.666005799128
Encode_hg38_A549_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep2	hg38	0	1000000	0.707302579885
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	10000	0.0446295071563
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	40000	0.179339155989
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	200000	0.539681208141
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_H1-ES_HindIII_Rep1	hg38	0	1000000	0.742379531094
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	10000	0.147595385433
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	40000	0.481530517867
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	200000	0.654249603611
Encode_hg38_A549_HindIII_Rep2	GSE35156_hg38_IMR90_HindIII_Rep2	hg38	0	1000000	0.696273371849
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep1	hg38	0	10000	0.100911813911
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep1	hg38	0	40000	0.46405994098
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep1	hg38	0	200000	0.716876491209
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep1	hg38	0	1000000	0.777426129267
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	0	10000	0.097740484596
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	0	40000	0.455815627629
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	0	200000	0.717713778832
Encode_hg38_A549_HindIII_Rep2	GSE48592_hg38_GM12878_HindIII_Rep2	hg38	0	1000000	0.779263994791
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	10000	0.19079158062
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	40000	0.505314988923
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	200000	0.732617790602
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-ES_HindIII_Rep1	hg38	0	1000000	0.773002015487
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	hg38	0	10000	0.21033977603
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	hg38	0	40000	0.531962384321
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	hg38	0	200000	0.645247204132
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep1	hg38	0	1000000	0.65261075393
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	10000	0.215628089771
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	40000	0.534737921816
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	200000	0.6450533989
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-MesenchymalStem_HindIII_Rep2	hg38	0	1000000	0.651419780738
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	hg38	0	10000	0.210903349903
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	hg38	0	40000	0.551582839228
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	hg38	0	200000	0.750047607357
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	hg38	0	1000000	0.803206726997
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep2	hg38	0	10000	0.203348711354
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep2	hg38	0	40000	0.533125368944
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep2	hg38	0	200000	0.750369301113
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep2	hg38	0	1000000	0.833711374872
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	10000	0.0747805477453
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	40000	0.41526376795
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	200000	0.650215699666
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-NPC_HindIII_Rep1	hg38	0	1000000	0.760013959465
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep1	hg38	0	10000	0.162737798462
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep1	hg38	0	40000	0.535492043668
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep1	hg38	0	200000	0.727250244724
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep1	hg38	0	1000000	0.774650322365
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep2	hg38	0	10000	0.183884254647
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep2	hg38	0	40000	0.544072305258
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep2	hg38	0	200000	0.729034934051
Encode_hg38_A549_HindIII_Rep2	GSE52457_hg38_H1-Trophectoderm_HindIII_Rep2	hg38	0	1000000	0.780531440396
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	10000	0.0603771913554
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	40000	0.326722459911
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	200000	0.586443236965
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_GM12878_MboI_Rep2	hg38	0	1000000	0.69712871958
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	10000	0.0343598071952
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	40000	0.171247942956
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	200000	0.462530559032
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep1	hg38	0	1000000	0.628324484283
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	10000	0.0350320581373
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	40000	0.191783835402
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	200000	0.515219077242
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_HMEC_MboI_Rep2	hg38	0	1000000	0.676010749552
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	10000	0.0599613751908
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	40000	0.413323910641
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	200000	0.61273448327
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep1	hg38	0	1000000	0.657920037605
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep2	hg38	0	10000	0.0576979073486
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep2	hg38	0	40000	0.413664713572
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep2	hg38	0	200000	0.625194163749
Encode_hg38_A549_HindIII_Rep2	GSE63525_hg38_K562_MboI_Rep2	hg38	0	1000000	0.671117916828
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep1	hg38	0	10000	0.0144444434229
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep1	hg38	0	40000	0.0683108439989
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep1	hg38	0	200000	0.355327733371
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep1	hg38	0	1000000	0.728533307054
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep2	hg38	0	10000	0.0308954448808
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep2	hg38	0	40000	0.077951832966
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep2	hg38	0	200000	0.317287778287
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-Dil_HindIII_Rep2	hg38	0	1000000	0.632826604467
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep1	hg38	0	10000	0.0466851388936
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep1	hg38	0	40000	0.110435940756
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep1	hg38	0	200000	0.376887624175
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep1	hg38	0	1000000	0.688496345174
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep2	hg38	0	10000	0.0377266825695
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep2	hg38	0	40000	0.0696063243425
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep2	hg38	0	200000	0.243144515609
Encode_hg38_A549_HindIII_Rep2	GSE70181_hg38_H9-WA09-IS_HindIII_Rep2	hg38	0	1000000	0.587074945031
Encode_hg38_A549_HindIII_Rep2	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	10000	0.1576741795
Encode_hg38_A549_HindIII_Rep2	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	40000	0.503586638752
Encode_hg38_A549_HindIII_Rep2	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	200000	0.649621174486
Encode_hg38_A549_HindIII_Rep2	GSE71831_hg38_RPE1_MboI_Rep2	hg38	0	1000000	0.654638054056
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	10000	0.0552157375522
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	40000	0.371318785839
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	200000	0.691801045512
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Bladder_HindIII_Rep1	hg38	0	1000000	0.736987232854
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Lung_HindIII_Rep2	hg38	0	10000	0.0350227289595
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Lung_HindIII_Rep2	hg38	0	40000	0.222167438733
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Lung_HindIII_Rep2	hg38	0	200000	0.630672956763
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Lung_HindIII_Rep2	hg38	0	1000000	0.770229843335
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Psoas_HindIII_Rep1	hg38	0	10000	0.0166295637433
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Psoas_HindIII_Rep1	hg38	0	40000	0.117443048034
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Psoas_HindIII_Rep1	hg38	0	200000	0.570253175924
Encode_hg38_A549_HindIII_Rep2	GSE87112_hg38_Psoas_HindIII_Rep1	hg38	0	1000000	0.750226013335
