Sample1	Sample2	Balance	Coverage	Resolution	Score
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	1.0	20000000	1000000	0.119564947017
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.0	20000000	40000	0.0224456032904
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.0	20000000	200000	0.0829475768059
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.0	20000000	1000000	0.119777747228
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.2	20000000	40000	0.0199681085511
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.2	20000000	200000	0.0745361292484
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.2	20000000	1000000	0.11424200901
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.4	20000000	40000	0.0183788115757
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.4	20000000	200000	0.0692488417734
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.4	20000000	1000000	0.111728890595
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.6	20000000	40000	0.0176346998897
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.6	20000000	200000	0.0677346118285
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.6	20000000	1000000	0.11169500567
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.8	20000000	40000	0.0176219359737
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.8	20000000	200000	0.0695946219174
Encode_hg38_NCI-H460_HindIII_Rep1	GSE35156_hg38_IMR90_HindIII_Rep1	0.8	20000000	1000000	0.114047609341
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	1.0	20000000	40000	0.0170947265136
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	1.0	20000000	200000	0.0718131046501
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	1.0	20000000	1000000	0.135004592748
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.0	20000000	40000	0.0154036206386
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.0	20000000	200000	0.0550144980418
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.0	20000000	1000000	0.137073743021
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.2	20000000	40000	0.0147159676993
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.2	20000000	200000	0.0526467309718
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.2	20000000	1000000	0.118160762407
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.4	20000000	40000	0.0147373496515
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.4	20000000	200000	0.0545438824461
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.4	20000000	1000000	0.115208705245
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.6	20000000	40000	0.0151101999766
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.6	20000000	200000	0.0596001479826
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.6	20000000	1000000	0.120905048539
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.8	20000000	40000	0.0159596230243
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.8	20000000	200000	0.0654738268086
Encode_hg38_G401_HindIII_Rep1	GSE35156_hg38_H1-ES_HindIII_Rep2	0.8	20000000	1000000	0.128326158656
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	1.0	20000000	40000	0.016518577308
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	1.0	20000000	200000	0.0698577967131
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	1.0	20000000	1000000	0.131230668283
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.0	20000000	40000	0.0224209851787
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.0	20000000	200000	0.0857519523893
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.0	20000000	1000000	0.133129925284
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.2	20000000	40000	0.0195366749219
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.2	20000000	200000	0.0743162525148
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.2	20000000	1000000	0.126401908096
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.4	20000000	40000	0.0174990835206
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.4	20000000	200000	0.0672764529748
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.4	20000000	1000000	0.122809355629
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.6	20000000	40000	0.0162821657708
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.6	20000000	200000	0.0637684096278
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.6	20000000	1000000	0.121929158288
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.8	20000000	40000	0.0160083245408
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.8	20000000	200000	0.064996172366
Encode_hg38_G401_HindIII_Rep2	Encode_hg38_T47D_HindIII_Rep1	0.8	20000000	1000000	0.124235317377
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	1.0	20000000	40000	0.0231925996707
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	1.0	20000000	200000	0.0752960820317
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	1.0	20000000	1000000	0.129118179497
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.0	20000000	40000	0.0172847527023
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.0	20000000	200000	0.0592290949309
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.0	20000000	1000000	0.129842338152
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.2	20000000	40000	0.0174064770068
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.2	20000000	200000	0.0571757612874
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.2	20000000	1000000	0.120500476161
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.4	20000000	40000	0.0181766412388
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.4	20000000	200000	0.0592346533191
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.4	20000000	1000000	0.119640486559
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.6	20000000	40000	0.019592097172
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.6	20000000	200000	0.0633726414552
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.6	20000000	1000000	0.121623723292
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.8	20000000	40000	0.0212636610266
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.8	20000000	200000	0.0689915451923
Encode_hg38_Caki2_HindIII_Rep2	GSE52457_hg38_H1-Mesendoderm_HindIII_Rep1	0.8	20000000	1000000	0.12482581734
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	1.0	20000000	40000	0.0187008418831
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	1.0	20000000	200000	0.0788210543714
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	1.0	20000000	1000000	0.121470622191
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.0	20000000	40000	0.0152911423603
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.0	20000000	200000	0.0628021640582
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.0	20000000	1000000	0.121407060752
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.2	20000000	40000	0.0143535694075
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.2	20000000	200000	0.0601941481062
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.2	20000000	1000000	0.116167183516
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.4	20000000	40000	0.0144357915786
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.4	20000000	200000	0.0618038830205
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.4	20000000	1000000	0.113527471367
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.6	20000000	40000	0.0153385435993
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.6	20000000	200000	0.0661186032767
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.6	20000000	1000000	0.114939871137
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.8	20000000	40000	0.0168733230891
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.8	20000000	200000	0.0722501383708
Encode_hg38_A549_HindIII_Rep1	GSE63525_hg38_GM12878_MboI_Rep1	0.8	20000000	1000000	0.117951109688
